"Stkcd","Trddt","AdjClose","LogRet"
600151,2000-04-14,15.859992,-0.0119086393405778
600741,2000-04-14,60.964693,-0.0102916821737402
678,2000-04-17,22.407596,0.034958685450083
868,2000-04-17,9.356989,-0.0195871019507567
600006,2000-04-17,5.81,-0.0388234410829038
600151,2000-04-17,15.489992,-0.0236055738265453
600741,2000-04-17,60.20789,-0.0124914864736629
678,2000-04-18,22.137124,-0.0121439903096858
868,2000-04-18,9.418684,0.00657182536622969
600006,2000-04-18,5.9,0.0153717800478541
600151,2000-04-18,15.899992,0.026124468114995
600741,2000-04-18,60.544247,0.00557104624900262
678,2000-04-19,22.38679,0.0112150345474067
868,2000-04-19,9.398119,-0.00218581319982158
600006,2000-04-19,5.84,-0.0102215540715382
600151,2000-04-19,16.499992,0.0370412899765276
600741,2000-04-19,61.805585,0.0206192794499307
678,2000-04-20,21.783429,-0.0273215096284605
868,2000-04-20,9.521508,0.0130436767511051
600006,2000-04-20,5.85,0.00171086440362944
600151,2000-04-20,16.789992,0.0174230985573116
600741,2000-04-20,63.865772,0.0327898358711902
678,2000-04-21,21.013623,-0.0359786014442993
868,2000-04-21,9.634614,0.0118089991707211
600006,2000-04-21,5.71,-0.0242226375758461
600151,2000-04-21,16.849992,0.00356718740556561
600741,2000-04-21,66.052092,0.0336601350219734
678,2000-04-24,21.367318,0.0166916167282629
868,2000-04-24,9.57292,-0.00642395969849163
600006,2000-04-24,5.77,0.0104530568520893
600151,2000-04-24,16.799992,-0.00297177180218622
600741,2000-04-24,64.412352,-0.025138287480738
678,2000-04-25,21.180068,-0.00880200766912154
868,2000-04-25,9.449531,-0.0129731684479295
600151,2000-04-25,16.649992,-0.00896867427276682
678,2000-04-26,21.200873,0.000981809331286332
868,2000-04-26,9.665461,0.0225936987573001
600006,2000-04-26,5.82,0.00862818122333819
600151,2000-04-26,16.739992,0.00539085121810601
600741,2000-04-26,62.730567,-0.0264565751557884
678,2000-04-27,20.493484,-0.0339353781157632
868,2000-04-27,9.346707,-0.0335347206488534
600006,2000-04-27,5.67,-0.0261111440036856
600151,2000-04-27,16.719992,-0.00119545797642129
600741,2000-04-27,65.169155,0.0381374333662885
678,2000-04-28,20.472678,-0.00101576524493252
868,2000-04-28,9.367272,0.0021978231650408
600006,2000-04-28,5.69,0.00352113039857893
600151,2000-04-28,17.089992,0.0218878998298426
600741,2000-04-28,66.010047,0.0128206835422198
678,2000-05-08,20.867984,0.0191249017209691
868,2000-05-08,9.49066,0.0130862451771097
600006,2000-05-08,5.68,-0.00175901540517986
600151,2000-05-08,17.699991,0.0350711020876937
600741,2000-05-08,66.010047,0
678,2000-05-09,20.014956,-0.0417363243447975
868,2000-05-09,9.27473,-0.0230146595373779
600006,2000-05-09,5.5,-0.0322031404946346
600151,2000-05-09,16.999992,-0.0403512576372078
600741,2000-05-09,64.538485,-0.0225452451801447
678,2000-05-10,18.829038,-0.0610795414151579
868,2000-05-10,8.832586,-0.0488456605862693
600006,2000-05-10,5.28,-0.040821994520255
600741,2000-05-10,63.193058,-0.0210672591860019
678,2000-05-11,18.579372,-0.0133483196459738
868,2000-05-11,8.575526,-0.0295355046927943
